time,latitude,longitude,depth,mag
2021-10-16T20:30:30.319Z,-19.4117,169.6851,10,4.4
2021-10-16T08:08:24.342Z,-19.2755,169.4313,142.07,4.2
2021-11-07T03:39:33.757Z,-19.266,-173.4713,10,5.4
2021-11-05T18:48:20.448Z,-19.2641,-69.7925,93.44,4.5
2021-10-30T00:13:25.628Z,-18.9833,169.4032,208.39,4.3
2021-10-31T17:51:17.986Z,-18.8649,169.5519,260.66,4.4
2021-11-01T15:14:40.096Z,-18.8487,-172.7968,10,4.6
2021-10-21T22:55:30.605Z,-18.7717,-177.6613,569.64,4.4
2021-10-18T10:20:52.782Z,-18.7216,-172.4805,10,4.5
2021-10-22T14:21:03.233Z,-18.6378,-177.6431,655.67,4.5
2021-10-12T13:10:20.457Z,-18.6254,-177.5533,615.72,4.1
2021-11-03T12:45:40.964Z,-18.4741,168.9059,219.86,5
2021-10-25T04:26:48.628Z,-18.3325,-177.8385,610.45,4.2
2021-11-06T20:31:25.917Z,-18.2776,-69.5352,132.87,4.2
2021-10-24T15:07:30.367Z,-18.276,-177.6189,592.01,4
2021-10-13T07:15:26.561Z,-18.1459,-178.2839,635.43,4.2
2021-10-16T23:13:27.370Z,-18.0868,-174.5791,130.89,4.4
2021-10-27T01:35:51.381Z,-17.9959,-178.6251,562.13,4.2
2021-11-06T22:52:23.392Z,-17.9856,-178.0248,605.24,4.3
2021-10-31T23:47:49.759Z,-17.968,-178.4765,571.93,4.4
2021-10-27T22:58:09.456Z,-17.9215,168.6524,132.76,4.1
2021-10-12T00:04:45.952Z,-17.8593,-178.5987,552.27,4.3
2021-10-10T15:43:39.556Z,-17.8582,-178.4205,562.65,4.4
2021-10-10T21:26:29.618Z,-17.7496,-177.7788,612.05,4.6
2021-10-25T21:54:44.986Z,-17.7489,-178.5972,586.15,4.1
2021-10-25T04:50:38.943Z,-17.6924,-173.0246,8.27,4.6
2021-10-25T01:04:27.251Z,-17.6811,-178.7337,593.96,4.2
2021-10-24T04:40:12.188Z,-17.6536,-178.5012,561.79,4
2021-11-01T15:49:54.521Z,-17.6469,-174.5388,176.34,4.6
2021-10-21T21:12:44.726Z,-17.5759,-174.6393,312.57,4.4
2021-10-26T15:02:54.716Z,-17.438,-178.7548,592.62,4.2
2021-10-10T05:04:25.128Z,-17.3981,-175.1916,291.28,4.3
2021-10-27T12:18:18.982Z,-17.3119,168.5759,221.68,4.3
2021-10-18T07:26:36.014Z,-17.1815,-70.5431,130.71,4
2021-10-11T16:49:15.903Z,-17.1444,-174.6911,197.48,4.5
2021-10-22T21:59:46.449Z,-17.0399,-173.9677,75.06,5
2021-11-06T08:55:15.024Z,-16.9959,-174.3935,216.05,4.4
2021-10-13T03:31:21.108Z,-16.876,-174.1679,158.25,4.6
2021-10-21T03:37:20.210Z,-16.8559,-172.7038,10,4.8
2021-10-11T19:10:49.193Z,-16.8442,176.8145,10,4.7
2021-10-10T09:23:25.242Z,-16.6391,-72.76,64.28,4.6
2021-11-02T16:12:12.507Z,-16.6016,-173.6002,10,4.7
2021-10-10T02:57:14.546Z,-16.539,177.6292,10,4.7
2021-10-15T01:51:31.835Z,-16.4557,-69.9868,185.39,4.2
2021-10-14T03:22:00.776Z,-16.2559,-73.0547,52.03,4.4
2021-11-06T09:57:24.318Z,-16.1185,-173.5932,88.27,4.6
2021-10-15T23:14:29.169Z,-16.0812,-173.5297,107.06,4.3
2021-10-28T22:37:47.379Z,-15.9975,-172.0555,10,4.7
2021-11-02T14:49:49.901Z,-15.9689,-173.6805,71.39,4.7
2021-10-10T00:46:59.140Z,-15.8445,-72.2282,7.74,4.5
2021-10-19T00:16:22.892Z,-15.8099,-174.9526,257.62,4
2021-10-13T22:05:02.888Z,-15.6948,167.9574,202.52,4.4
2021-10-12T04:00:04.908Z,-15.6788,-71.9801,10,4.9
2021-10-16T03:45:15.386Z,-15.5281,-177.0936,410.66,4.1
2021-10-26T07:59:07.966Z,-15.4441,67.052,10,4.4
2021-10-31T15:35:58.310Z,-15.2654,167.464,38.93,4.5
2021-10-19T10:18:19.106Z,-15.185,-177.7085,393.02,4.1
2021-10-29T22:43:48.697Z,-15.0565,-73.9407,79.12,4.5
2021-10-14T05:51:55.748Z,-15.0476,167.4701,116,5.6
2021-10-29T19:55:26.377Z,-15.0472,-73.969,68.82,5.2
2021-11-02T13:16:53.989Z,-15.0266,167.8537,35,4.9
2021-10-15T04:46:03.842Z,-15.0087,-177.7623,391.36,4.1
2021-10-17T15:57:34.129Z,-14.8249,167.9587,10,4.9
2021-10-27T08:30:36.554Z,-14.7335,168.2977,34.87,4.1
2021-10-13T22:25:57.872Z,-14.1589,167.3444,197.28,4.5
2021-11-01T06:50:35.830Z,-14.12,167.2983,10,4.5
2021-10-23T01:52:57.769Z,-14.0449,-14.4052,10,4.6
2021-10-18T18:01:47.492Z,-13.9681,165.8007,10,4.6
2021-10-19T14:43:08.525Z,-13.8257,166.5856,58.39,4.4
2021-10-18T07:26:52.398Z,-13.7397,166.9399,96.48,6.1
2021-10-30T02:20:07.530Z,-13.3772,167.5704,10,4.6
2021-11-01T17:07:56.834Z,-12.83,-77.0408,34.91,4.5
2021-10-15T02:51:50.546Z,-12.7737,-71.3141,31.01,4.3
2021-11-04T08:35:29.179Z,-12.2126,167.0594,218.37,4.9
2021-11-02T20:55:06.177Z,-12.1282,65.5865,10,5.5
2021-10-17T07:38:47.674Z,-11.9145,167.0293,79.26,4.4
2021-11-06T19:00:37.433Z,-11.8916,-73.429,52.67,4.8
2021-10-20T06:38:29.655Z,-11.8553,166.8466,205.22,5.1
2021-10-10T00:20:40.657Z,-11.6892,-71.6566,10,5.7
2021-10-10T15:05:36.182Z,-11.6105,-71.6396,54.29,4.5
2021-10-16T12:53:41.819Z,-11.5978,-77.5312,57.92,4.4
2021-10-18T22:43:24.226Z,-10.9823,162.2775,40.46,4.7
2021-10-24T00:08:20.905Z,-10.9623,164.5425,10,4.8
2021-10-20T05:47:26.823Z,-10.7892,162.0651,74.1,4.6
2021-10-23T14:58:15.229Z,-9.7994,118.9401,34.93,4.1
2021-11-05T13:17:23.828Z,-9.6511,117.4826,73.69,4.1
2021-10-24T09:43:56.636Z,-9.6458,108.0299,10,4.3
2021-10-18T00:48:59.479Z,-9.6355,118.1749,10,4.3
2021-10-12T04:34:35.763Z,-9.6206,-71.2681,605.13,4.1
2021-10-27T05:50:44.170Z,-9.5795,124.9639,41.74,4.9
2021-10-29T11:35:08.712Z,-9.4799,121.3369,75.89,4.4
2021-10-25T06:52:04.177Z,-9.3149,107.8242,10,5
2021-10-22T02:39:16.739Z,-9.2293,110.3822,31.36,4.6
2021-10-13T09:07:41.597Z,-9.1934,-78.8425,69.74,4.6
2021-10-11T03:09:54.480Z,-9.0318,122.385,97.92,4.8
2021-10-27T04:17:36.155Z,-8.975,110.9106,35,4.1
2021-10-13T05:00:44.111Z,-8.9377,110.9692,47.25,4.8
2021-10-31T02:55:44.999Z,-8.9021,158.481,31.92,4.8
2021-10-15T02:44:57.920Z,-8.8768,158.4815,22.55,6.4
2021-10-19T13:59:03.874Z,-8.862,158.4373,17.51,4.4
2021-10-22T02:21:15.383Z,-8.7794,112.5219,80.08,5.3
2021-10-10T04:06:19.934Z,-8.7576,-74.7022,128.65,4.6
2021-10-25T17:44:24.029Z,-8.7414,67.0509,10,4.6
2021-10-15T05:49:29.090Z,-8.5332,32.1593,10,4.7
2021-10-15T20:18:20.996Z,-8.3378,115.4722,10,5.1
2021-10-20T09:21:11.505Z,-8.2559,116.7938,10,4.8
2021-10-28T16:06:41.225Z,-8.2364,124.6286,10,3.4
2021-10-20T18:53:17.448Z,-7.9008,106.4551,35,4.5
2021-10-30T11:11:42.214Z,-7.7089,125.4201,15.23,5.5
2021-10-15T22:38:34.460Z,-7.6738,115.354,286.78,4.3
2021-10-26T10:22:03.478Z,-7.6443,119.8714,263.51,4.3
2021-10-11T16:35:48.224Z,-7.5197,128.1713,156.05,4.4
2021-10-28T02:32:05.751Z,-7.4955,128.4359,129.62,5.1
2021-10-31T11:26:58.486Z,-7.3778,128.4582,166.35,4
2021-10-31T13:05:14.779Z,-7.3242,129.6434,141.31,4.3
2021-10-12T15:25:17.976Z,-7.3026,120.3202,539.11,4.1
2021-10-13T09:57:27.898Z,-7.1823,129.4314,143.65,4.9
2021-11-08T08:31:07.621Z,-7.133,126.5282,395.81,4.2
2021-10-15T20:34:06.072Z,-7.1329,104.1111,35.33,4.4
2021-10-31T02:06:32.832Z,-7.1095,129.0465,155.37,4.6
2021-10-13T10:51:47.685Z,-7.0998,130.0563,91.46,5
2021-10-14T20:49:18.495Z,-7.0946,130.0521,97.67,4.9
2021-10-11T07:45:10.332Z,-7.0554,156.051,79.06,4.5
2021-10-15T23:03:39.547Z,-7.012,104.0438,10,4.3
2021-10-23T10:32:43.231Z,-6.9231,129.9346,140.01,4.5
2021-10-31T15:03:50.189Z,-6.9072,130.0235,128.12,4.3
2021-11-02T16:43:52.809Z,-6.8807,130.4963,94,5.9
2021-10-12T03:53:00.860Z,-6.8356,129.7224,135.54,4.7
2021-11-04T07:56:55.822Z,-6.8101,129.5299,129.93,4.5
2021-11-04T16:25:05.135Z,-6.7899,147.626,46.39,5.2
2021-10-23T19:09:09.929Z,-6.6495,130.2778,99.11,4.1
2021-10-25T13:47:41.944Z,-6.6285,147.3544,35,4.3
2021-10-23T08:07:17.225Z,-6.6028,155.2948,35,4.4
2021-10-29T00:03:26.023Z,-6.5758,129.927,137.85,4.1
2021-10-15T03:59:36.671Z,-6.4171,149.3218,47.19,4.4
2021-10-10T15:13:45.594Z,-6.3962,149.1947,35,4.5
2021-10-28T07:03:00.130Z,-6.2811,130.1942,115.61,4.6
2021-10-31T17:04:22.034Z,-6.255,154.0494,10,4.4
2021-10-28T12:28:57.170Z,-6.1944,154.5833,82.4,4.6
2021-11-06T05:30:22.461Z,-6.1268,130.1686,159.1,4.5
2021-11-05T23:19:49.967Z,-6.0684,-81.4731,10,5.1
2021-11-01T18:20:16.630Z,-6.038,148.5685,63.48,4.4
2021-10-21T19:34:36.937Z,-6.0017,122.5323,10,4.3
2021-10-31T14:30:48.977Z,-6.0008,128.6066,338.09,4
2021-10-19T08:43:01.928Z,-5.9856,150.686,68.82,4
2021-10-27T20:41:57.228Z,-5.9849,128.7265,326.18,4.7
2021-10-23T07:12:57.224Z,-5.8357,128.9122,220.13,4.4
2021-10-16T07:43:00.311Z,-5.8122,130.5612,87.18,4.3
2021-10-12T18:44:06.972Z,-5.7399,149.0643,127.87,4.9
